user_id,ring_id,ring_type,is_fraud_ring,tx_count,amount_mean,amount_std,amount_max,amount_log_mean,online_rate,night_rate,merchant_count,category_count,tx_per_merchant,device_id_degree_max,device_id_degree_mean,ip_id_degree_max,ip_id_degree_mean,card_id_degree_max,card_id_degree_mean,merchant_degree_max,merchant_degree_mean,mule_merchant_rate,mule_merchant_count,component_id,component_size,shared_device_ip_pressure,graph_risk_score,n2v_00,n2v_01,n2v_02,n2v_03,n2v_04,n2v_05,n2v_06,n2v_07,n2v_08,n2v_09,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15
u_00000,none,none,0,5.0,60.836,80.46871864271233,202.92,3.5763268381548827,0.2,0.4,5.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,30.0,24.2,0.0,0.0,u_05254,7509,4.0,4.212553679670917,0.55515236,-0.087197125,0.050438277,0.24564241,-0.086783975,0.38370124,0.007688037,-0.071899004,-0.06267436,-0.13192497,0.015775522,0.2943098,-0.10793703,-0.08798135,-0.5067589,-0.27737448
u_00001,none,none,0,4.0,70.35249999999999,62.719677069215415,160.07,3.993560453908313,0.5,0.0,4.0,3.0,1.0,1.0,1.0,3.0,2.5,2.0,2.0,31.0,24.5,0.0,0.0,u_05254,7509,6.0,4.3030214784891365,0.8647939,-0.12344526,-0.016872374,-0.016111882,-0.16020975,-0.000554363,0.07172411,-0.046286654,-0.08191952,0.099187635,-0.17319849,-0.0020787236,-0.040123843,0.17241867,-0.34286365,0.08915993
u_00002,none,none,0,5.0,79.062,56.221280846312986,154.32,4.161219436325638,0.4,0.0,5.0,4.0,1.0,3.0,3.0,20.0,20.0,2.0,1.3333333333333333,33.0,25.0,0.0,0.0,u_05254,7509,25.0,4.643193000093966,0.33351108,-0.013675538,-0.029760005,-0.037674632,0.028398735,-0.026527941,0.0106940465,-0.04968171,0.08043259,0.18140313,-0.07364089,-0.30672908,-0.04609058,0.848873,-0.021716112,-0.14185135
u_00003,none,none,0,5.0,104.22600000000003,115.97998439385997,308.6,4.294457307028054,1.0,0.0,5.0,3.0,1.0,1.0,1.0,4.0,3.5,3.0,3.0,26.0,22.4,0.0,0.0,u_05254,7509,8.0,4.331870278200284,0.72892743,-0.08540589,-0.1268072,-0.008949786,-0.07876716,0.0057203895,0.09005686,-0.2337392,0.040377773,-0.11386047,-0.16055605,-0.17178525,0.01584845,-0.31991962,0.41328204,-0.18150605
u_00004,none,none,0,6.0,44.745,41.483752361617434,121.99,3.493982615128628,0.16666666666666666,0.0,6.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,31.0,24.333333333333332,0.0,0.0,u_05254,7509,8.0,4.365850085559363,0.8453341,-0.07022363,-0.12578198,-0.0994921,-0.18333638,0.1974329,-0.042016726,-0.16499262,-0.0039403993,-0.15047057,-0.26587388,0.024985466,-0.041966196,-0.08852875,-0.20800182,0.07966091
u_00005,none,none,0,5.0,38.928,26.95176840209191,63.09,3.383959164049608,0.2,0.0,5.0,4.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,31.0,27.0,0.0,0.0,u_05254,7509,6.0,4.3030214784891365,0.685844,0.29377818,0.2012613,0.03654374,0.51801294,0.23017311,0.06802298,-0.026602892,0.014617946,0.0045039603,-0.0072832387,0.066379346,-0.12943588,0.06161546,-0.18951575,-0.11687263
u_00006,none,none,0,2.0,33.45,20.831365773755692,48.18,3.438560192981268,0.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,26.0,25.0,0.0,0.0,u_02285,3,5.0,1.5923102668998412,0.9187968,-0.08236866,-0.13323353,0.05519747,0.117688514,-0.051334728,-0.07430139,0.05148881,0.028042138,-0.15322661,-0.054090075,-0.114607476,0.038296465,-0.014338787,-0.13299595,0.20949192
u_00007,none,none,0,3.0,23.77333333333333,9.58785864170584,31.97,3.150407310752532,0.3333333333333333,0.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,30.0,26.666666666666668,0.0,0.0,u_05254,7509,6.0,4.2966717388262206,0.8589343,-0.1160459,-0.15658414,-0.07434437,-0.009244817,-0.15689805,-0.08367793,-0.3376113,0.022622831,0.04138512,0.0007722018,-0.05803326,-0.03965296,0.1038992,-0.18319453,0.14667378
u_00008,none,none,0,8.0,40.57125,21.10744989503537,70.15,3.5878611604735298,0.375,0.0,8.0,5.0,1.0,2.0,2.0,5.0,5.0,3.0,1.6666666666666667,35.0,28.125,0.0,0.0,u_05254,7509,10.0,4.439574366556178,0.80406123,0.4036344,-0.017439982,-0.08042524,0.010781358,-0.074210964,0.010188218,-0.15516146,0.06327743,-0.11484808,-0.12531148,-0.08383466,-0.07519711,-0.17725916,0.2773968,-0.0063467273
u_00009,none,none,0,4.0,52.557500000000005,32.74267589858838,84.48,3.8156569642949156,0.5,0.0,4.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,54.0,27.5,0.25,1.0,u_05254,7509,8.0,4.524169542045912,0.46557537,-0.09700158,0.27891472,0.38860083,0.036671765,-0.029927028,0.089905314,-0.11889415,0.15009071,-0.16282682,0.11578157,-0.05200128,0.5285922,0.0049710087,0.24266851,0.34219176
