transaction_id,user_id,timestamp,amount,merchant_id,device_id,ip_id,card_id,is_online,is_fraud,ring_id,ring_type
tx_0000000,u_02423,2026-01-09 12:39:00,43.83,m_0250,d_004525,ip_006445,c_003653,1,0,none,none
tx_0000001,u_04844,2026-02-11 11:18:00,135.96,m_0230,d_002596,ip_009443,c_007195,1,0,none,none
tx_0000002,u_06020,2026-02-13 18:10:00,148.83,m_0990,d_005145,ip_008241,c_003309,1,0,none,none
tx_0000003,u_05222,2026-04-16 03:04:00,16.37,m_0617,d_004537,rip_08_00,c_001634,1,1,ring_08,account_farm
tx_0000004,u_06422,2026-03-02 18:44:00,9.3,m_0680,d_003155,rip_03_01,c_002606,1,0,ring_03,promo_abuse
tx_0000005,u_04038,2026-02-21 17:42:00,84.59,m_0223,d_005845,ip_008840,c_004957,0,0,none,none
tx_0000006,u_04811,2026-03-09 12:22:00,142.43,m_0732,d_002259,ip_003313,c_005313,1,0,none,none
tx_0000007,u_06751,2026-03-29 21:32:00,16.63,m_0059,d_005099,ip_002789,c_006606,0,0,none,none
tx_0000008,u_05159,2026-03-12 16:38:00,16.5,m_0038,d_000551,ip_004512,c_008844,1,0,none,none
tx_0000009,u_06670,2026-02-27 16:06:00,84.88,m_1040,d_006841,ip_009405,c_006801,1,0,none,none
tx_0000010,u_03600,2026-04-24 22:35:00,11.02,m_0786,d_001442,ip_010305,c_007015,1,0,none,none
tx_0000011,u_04930,2026-04-26 02:42:00,38.11,m_0776,d_008027,ip_004185,c_003775,1,0,none,none
tx_0000012,u_03257,2026-04-06 23:18:00,112.88,m_0260,d_006781,ip_008794,c_002269,0,0,none,none
tx_0000013,u_03244,2026-01-06 19:15:00,12.06,m_0417,d_004459,ip_004009,c_006864,1,0,none,none
tx_0000014,u_04436,2026-02-20 23:26:00,10.71,m_1004,d_006722,ip_009794,c_001259,1,0,none,none
tx_0000015,u_04331,2026-01-28 12:38:00,5.31,m_1173,d_005700,ip_002717,c_002762,1,0,none,none
tx_0000016,u_00521,2026-02-26 15:37:00,6.82,m_0475,d_004581,ip_003864,c_002267,1,0,none,none
tx_0000017,u_07611,2026-02-16 09:36:00,8.53,m_0924,d_005110,ip_008954,c_000043,0,0,none,none
tx_0000018,u_00108,2026-01-25 16:36:00,15.5,m_1110,d_007656,ip_005537,c_008953,1,0,none,none
tx_0000019,u_02026,2026-04-26 17:06:00,6.26,m_0474,d_009615,ip_002750,c_007923,1,0,none,none
tx_0000020,u_04095,2026-02-14 10:57:00,15.48,m_0561,d_005161,ip_000132,c_003260,1,0,none,none
tx_0000021,u_04510,2026-04-23 16:38:00,14.38,m_0070,d_007836,ip_004230,c_008481,0,0,none,none
tx_0000022,u_07124,2026-04-23 12:40:00,55.34,m_1101,d_004381,ip_003114,c_002921,0,0,none,none
tx_0000023,u_01105,2026-01-18 14:34:00,6.98,m_0795,d_000375,ip_007797,c_008128,1,0,none,none
tx_0000024,u_05413,2026-02-24 19:41:00,100.26,m_0423,d_005912,ip_007210,c_003977,0,0,none,none
tx_0000025,u_03013,2026-01-17 13:06:00,20.47,m_0375,d_000940,ip_009781,c_008372,0,0,none,none
tx_0000026,u_00288,2026-03-24 19:39:00,36.63,m_0485,d_009979,ip_009080,c_006946,0,0,none,none
tx_0000027,u_01369,2026-03-03 20:53:00,39.66,m_0075,d_004050,ip_007157,c_001158,0,0,none,none
tx_0000028,u_05331,2026-04-01 04:16:00,26.23,m_0502,d_006589,ip_001120,c_004955,1,0,none,none
tx_0000029,u_01181,2026-01-31 11:23:00,36.99,m_0827,d_004206,ip_007467,c_008009,0,0,none,none
tx_0000030,u_03454,2026-01-25 22:54:00,12.93,m_0230,d_007015,ip_006684,c_004941,0,0,none,none
tx_0000031,u_02006,2026-01-05 21:26:00,19.13,m_0448,d_007695,ip_007012,c_006342,1,0,none,none
tx_0000032,u_00812,2026-01-09 15:02:00,20.54,m_0761,d_001425,ip_008199,c_005728,0,0,none,none
tx_0000033,u_01670,2026-01-12 21:23:00,12.82,m_0143,d_008247,bip_011,c_003380,1,0,none,none
tx_0000034,u_07774,2026-04-12 21:47:00,64.33,m_0605,d_004011,ip_005477,c_004455,0,0,ring_05,mule_merchants
tx_0000035,u_07200,2026-01-18 19:28:00,50.88,m_0321,d_004163,ip_002900,c_006481,0,0,none,none
tx_0000036,u_02462,2026-04-21 16:52:00,12.53,m_0474,d_003735,ip_000504,c_007761,0,0,none,none
tx_0000037,u_00371,2026-03-29 14:44:00,45.97,m_0878,d_002052,ip_002030,c_002627,0,0,none,none
tx_0000038,u_06381,2026-01-05 13:11:00,25.4,m_0600,d_001415,ip_004180,c_001655,1,0,none,none
tx_0000039,u_02507,2026-04-24 11:55:00,29.42,m_0188,d_005968,ip_010239,c_004648,0,0,none,none
tx_0000040,u_04240,2026-03-09 17:17:00,25.85,m_0742,d_007914,ip_002687,c_007957,1,0,none,none
tx_0000041,u_04902,2026-02-12 14:04:00,52.29,m_0604,d_000767,ip_002123,c_000507,0,0,none,none
tx_0000042,u_01090,2026-02-23 15:13:00,13.39,m_0878,d_003378,ip_001968,c_006093,0,0,none,none
tx_0000043,u_06300,2026-04-13 17:30:00,10.22,m_0201,d_001779,ip_003391,c_007905,0,0,none,none
tx_0000044,u_07967,2026-01-29 15:55:00,94.52,m_1043,d_004421,bip_024,c_004579,0,0,none,none
tx_0000045,u_02443,2026-02-17 18:14:00,38.72,m_0407,d_009358,ip_004618,c_000017,0,0,none,none
tx_0000046,u_01742,2026-01-20 16:42:00,24.14,m_1100,d_008415,ip_002891,c_000708,1,0,none,none
tx_0000047,u_05214,2026-02-22 19:16:00,90.07,m_1022,d_002846,ip_006850,c_002481,1,0,none,none
tx_0000048,u_00626,2026-04-07 09:38:00,26.22,m_0452,d_007433,ip_006526,c_003084,1,0,none,none
tx_0000049,u_03695,2026-01-01 14:29:00,12.29,m_0748,d_006179,ip_002693,c_005821,0,0,none,none
tx_0000050,u_00679,2026-01-31 18:17:00,13.95,m_0173,d_004162,ip_003748,c_004296,1,0,none,none
tx_0000051,u_06434,2026-02-22 12:54:00,36.1,m_1006,d_004649,ip_003225,c_002540,0,0,none,none
tx_0000052,u_01494,2026-02-19 15:57:00,22.33,m_0813,d_000594,ip_005173,c_007611,1,0,none,none
tx_0000053,u_07594,2026-03-04 17:20:00,36.68,m_0142,d_008002,ip_005564,c_008163,0,0,none,none
tx_0000054,u_06308,2026-03-23 05:27:00,22.74,m_0116,d_008264,rip_07_00,c_000766,1,0,ring_07,promo_abuse
tx_0000055,u_06653,2026-02-05 09:44:00,14.39,m_0505,d_006950,ip_008521,c_007311,0,0,none,none
tx_0000056,u_07318,2026-02-24 00:04:00,37.12,m_0954,d_001922,ip_001556,c_004409,0,1,none,none
tx_0000057,u_01804,2026-03-31 13:59:00,70.69,m_0399,d_002699,ip_007902,c_004677,0,0,none,none
tx_0000058,u_02586,2026-04-10 10:43:00,15.49,m_0192,d_002005,ip_003777,c_008923,0,0,none,none
tx_0000059,u_06405,2026-01-13 21:33:00,9.92,m_0238,d_007448,ip_002031,c_002700,1,0,none,none
tx_0000060,u_06319,2026-02-21 22:10:00,11.2,m_1181,d_001444,ip_005864,c_004323,1,0,none,none
tx_0000061,u_06923,2026-01-11 10:19:00,47.14,m_0410,d_008794,ip_006416,c_007484,0,0,none,none
tx_0000062,u_01546,2026-03-04 17:57:00,103.24,m_1163,d_007618,ip_005475,c_003771,0,0,none,none
tx_0000063,u_04561,2026-03-02 11:34:00,30.17,m_0145,d_001392,ip_004037,c_005849,0,0,none,none
tx_0000064,u_05288,2026-04-09 19:48:00,9.68,m_0856,d_000171,ip_005513,c_004707,0,0,none,none
tx_0000065,u_03781,2026-04-29 09:34:00,17.78,m_0755,d_009325,ip_004375,c_002986,1,0,none,none
tx_0000066,u_06615,2026-02-26 19:57:00,16.79,m_0028,d_000725,rip_19_00,c_004506,1,0,ring_19,promo_abuse
tx_0000067,u_04782,2026-03-11 10:26:00,14.59,m_0485,d_004553,ip_000567,c_000248,1,0,none,none
tx_0000068,u_05698,2026-04-17 09:06:00,11.44,m_0064,d_002158,rip_08_00,c_002356,0,1,ring_08,account_farm
tx_0000069,u_01113,2026-01-06 01:38:00,72.2,m_0899,d_004631,ip_010182,c_007084,1,0,none,none
tx_0000070,u_01461,2026-03-07 17:32:00,3.23,m_1025,d_009275,ip_003850,c_000468,1,1,none,none
tx_0000071,u_06460,2026-03-27 18:07:00,66.53,m_0167,d_003555,ip_003669,c_008605,0,0,none,none
tx_0000072,u_07035,2026-04-26 14:56:00,28.9,m_0907,d_006718,ip_006841,c_008648,1,0,none,none
tx_0000073,u_02458,2026-01-02 07:33:00,21.06,m_0547,d_002825,ip_008363,c_006913,1,0,none,none
tx_0000074,u_06850,2026-03-09 16:53:00,51.78,m_0244,d_000533,ip_001919,c_001170,0,0,none,none
