user_id,primary_device,primary_ip,primary_card,benign_share_group,benign_share_type
u_00000,d_002743,ip_000314,c_003223,none,none
u_00001,d_002251,ip_006016,c_004497,none,none
u_00002,d_006831,bip_019,c_000232,benign_019,office
u_00003,d_004943,ip_009837,c_005636,none,none
u_00004,d_006649,ip_000202,c_008852,none,none
u_00005,d_002765,ip_008261,c_007573,none,none
u_00006,d_009143,ip_005332,c_003516,none,none
u_00007,d_008299,ip_002207,c_007610,none,none
u_00008,d_001555,bip_021,c_001016,benign_021,student_house
u_00009,d_009596,ip_000038,c_006112,none,none
u_00010,d_008630,ip_003245,c_002294,none,none
u_00011,d_003212,ip_009563,c_003450,none,none
u_00012,d_003566,ip_007388,c_001277,none,none
u_00013,d_002404,ip_000800,c_001958,none,none
u_00014,d_003940,bip_001,c_006043,benign_001,student_house
u_00015,rd_03_00,ip_001356,c_000756,none,none
u_00016,d_009766,ip_006442,c_000486,none,none
u_00017,d_002226,ip_000815,c_002167,none,none
u_00018,d_002746,ip_004302,c_007321,none,none
u_00019,d_006090,rip_08_00,c_007664,none,none
u_00020,d_005102,ip_003605,c_007231,none,none
u_00021,d_000132,ip_006284,c_008168,none,none
u_00022,d_004360,ip_006284,c_005719,none,none
u_00023,d_007173,ip_004644,c_000362,none,none
u_00024,d_002344,rip_12_01,rc_12_01,none,none
u_00025,d_002158,ip_009544,c_000422,none,none
u_00026,d_002909,ip_008516,c_008117,none,none
u_00027,d_004505,ip_002115,c_002080,none,none
u_00028,d_002803,ip_006663,c_004029,none,none
u_00029,d_008469,ip_009098,c_003428,none,none
u_00030,d_004692,ip_008901,c_002121,none,none
u_00031,d_006853,ip_009708,c_001704,none,none
u_00032,d_002966,ip_008352,c_001305,none,none
u_00033,d_009429,ip_001882,c_003222,none,none
u_00034,d_007569,ip_003725,c_006996,none,none
u_00035,d_009022,ip_005719,c_008473,none,none
u_00036,d_003117,ip_006102,c_000234,none,none
u_00037,d_007313,ip_003226,c_004939,none,none
u_00038,d_009437,ip_008135,c_003411,none,none
u_00039,d_007840,ip_003399,c_003690,none,none
u_00040,d_006981,ip_000084,c_006538,none,none
u_00041,d_007115,ip_008021,c_000609,none,none
u_00042,d_000977,ip_004711,c_000903,none,none
u_00043,d_002507,ip_009292,c_003154,none,none
u_00044,d_004931,ip_005946,c_007827,none,none
u_00045,d_007844,ip_007191,c_004431,none,none
u_00046,d_006256,ip_010365,c_003794,none,none
u_00047,d_006240,ip_002412,c_006325,none,none
u_00048,d_006501,ip_009993,c_005651,none,none
u_00049,d_008958,ip_008229,c_001362,none,none
u_00050,d_009377,ip_005281,c_005295,none,none
u_00051,d_003500,ip_002368,c_004489,none,none
u_00052,d_003657,ip_002993,c_006097,none,none
u_00053,d_008269,ip_001146,c_005147,none,none
u_00054,d_003323,ip_009961,c_002790,none,none
u_00055,d_006603,ip_004232,c_007361,none,none
u_00056,d_009608,ip_000076,c_004602,none,none
u_00057,d_007878,ip_003465,c_006107,none,none
u_00058,d_009423,ip_008742,c_005670,none,none
u_00059,rd_17_00,ip_000084,rc_17_01,none,none
u_00060,d_002982,rip_04_01,c_001130,none,none
u_00061,d_009719,ip_009151,c_008485,none,none
u_00062,d_004903,ip_002457,c_006525,none,none
u_00063,d_000418,ip_007576,c_002256,none,none
u_00064,d_000047,ip_007592,c_003044,none,none
u_00065,d_006073,ip_002436,c_000469,none,none
u_00066,d_005299,ip_005335,c_008232,none,none
u_00067,d_006518,ip_004368,c_003062,none,none
u_00068,d_007994,ip_003284,c_004939,none,none
u_00069,d_003341,ip_008179,c_007995,none,none
u_00070,d_002896,ip_008518,c_000344,none,none
u_00071,d_000991,ip_003087,c_002874,none,none
u_00072,d_005559,ip_003655,c_004534,none,none
u_00073,d_009088,ip_000067,c_006118,none,none
u_00074,d_003073,ip_007167,c_007098,none,none
u_00075,d_002210,ip_004972,c_005223,none,none
u_00076,d_007002,ip_007418,c_006077,none,none
u_00077,d_009765,bip_017,c_005791,benign_017,coworking
u_00078,d_007067,ip_009418,c_002161,none,none
u_00079,d_006342,ip_004586,c_002236,none,none
u_00080,d_008979,ip_005569,c_002084,none,none
u_00081,d_004196,ip_002931,c_007348,none,none
u_00082,d_005354,ip_010385,c_006201,none,none
u_00083,d_009377,ip_009111,c_006794,none,none
u_00084,rd_18_01,rip_18_00,c_008406,none,none
u_00085,d_004268,ip_003878,c_007380,none,none
u_00086,d_003192,ip_001096,c_003366,none,none
u_00087,d_009395,ip_000165,c_003040,none,none
u_00088,d_000527,ip_000911,c_001971,none,none
u_00089,d_000751,ip_000308,c_001649,none,none
u_00090,d_003374,ip_009731,c_005516,none,none
u_00091,d_009170,ip_002805,c_008428,none,none
u_00092,d_004072,ip_005429,c_002076,none,none
