user_id,age,account_age_days,home_region,income_band,ring_id,is_fraud_ring
u_00000,56,199,central,low,none,0
u_00001,69,374,east,medium,none,0
u_00002,46,565,west,low,none,0
u_00003,32,32,south,medium,none,0
u_00004,60,695,south,medium,none,0
u_00005,25,442,west,low,none,0
u_00006,38,966,north,medium,none,0
u_00007,56,285,north,low,none,0
u_00008,36,258,north,medium,none,0
u_00009,40,216,north,low,none,0
u_00010,28,546,central,medium,none,0
u_00011,28,78,west,medium,none,0
u_00012,41,228,south,low,none,0
u_00013,70,446,west,medium,none,0
u_00014,53,114,south,low,none,0
u_00015,57,416,north,medium,ring_03,1
u_00016,41,863,central,medium,none,0
u_00017,20,795,east,medium,none,0
u_00018,39,363,east,low,none,0
u_00019,70,720,north,low,none,0
u_00020,19,532,north,medium,none,0
u_00021,41,446,west,low,none,0
u_00022,61,589,central,high,none,0
u_00023,47,302,central,low,none,0
u_00024,55,322,west,medium,none,0
u_00025,19,523,central,medium,none,0
u_00026,38,391,central,medium,none,0
u_00027,50,782,east,medium,none,0
u_00028,29,640,central,medium,none,0
u_00029,39,638,north,low,none,0
u_00030,61,558,east,medium,none,0
u_00031,42,442,north,low,none,0
u_00032,66,629,north,medium,none,0
u_00033,44,742,west,medium,none,0
u_00034,59,501,central,low,none,0
u_00035,45,211,central,medium,none,0
u_00036,33,396,central,low,none,0
u_00037,32,117,central,medium,none,0
u_00038,64,842,east,medium,none,0
u_00039,68,630,south,low,none,0
u_00040,61,209,north,medium,none,0
u_00041,72,245,south,medium,none,0
u_00042,69,865,south,medium,none,0
u_00043,74,234,south,low,ring_05,1
u_00044,20,112,east,medium,none,0
u_00045,54,157,south,medium,none,0
u_00046,68,318,east,low,none,0
u_00047,24,282,west,low,none,0
u_00048,38,299,west,medium,none,0
u_00049,26,613,west,low,none,0
u_00050,56,259,east,medium,none,0
u_00051,35,514,east,medium,none,0
u_00052,21,161,north,low,none,0
u_00053,42,815,south,medium,none,0
u_00054,31,174,central,medium,none,0
u_00055,67,398,central,medium,none,0
u_00056,26,357,south,medium,none,0
u_00057,43,488,central,medium,ring_10,1
u_00058,70,649,central,medium,none,0
u_00059,19,288,central,low,none,0
u_00060,37,660,east,low,ring_04,1
u_00061,45,782,east,low,none,0
u_00062,64,339,east,high,none,0
u_00063,24,1092,south,high,none,0
u_00064,61,487,west,low,none,0
u_00065,25,308,central,medium,none,0
u_00066,64,415,north,low,ring_04,1
u_00067,52,1092,east,high,none,0
u_00068,31,500,north,low,none,0
u_00069,34,499,central,medium,none,0
u_00070,53,530,west,low,none,0
u_00071,67,695,north,low,none,0
u_00072,57,494,central,low,none,0
u_00073,21,575,central,medium,none,0
u_00074,19,410,east,medium,none,0
u_00075,23,442,west,low,none,0
u_00076,71,719,central,low,none,0
u_00077,59,227,west,medium,none,0
u_00078,21,397,east,high,none,0
u_00079,71,325,north,medium,none,0
u_00080,46,129,south,medium,none,0
u_00081,35,144,south,medium,none,0
u_00082,43,395,south,medium,none,0
u_00083,61,739,west,medium,none,0
u_00084,51,450,south,low,none,0
u_00085,27,260,north,medium,none,0
u_00086,53,891,central,low,none,0
u_00087,31,298,west,low,none,0
u_00088,48,182,north,low,none,0
u_00089,65,1103,west,low,none,0
u_00090,32,413,west,low,none,0
u_00091,25,1012,west,medium,none,0
u_00092,31,390,east,medium,none,0
u_00093,40,396,central,high,none,0
u_00094,74,124,south,low,none,0
u_00095,57,292,east,low,none,0
u_00096,38,532,central,high,none,0
u_00097,33,600,south,medium,none,0
u_00098,62,431,east,medium,none,0
u_00099,35,319,east,medium,none,0
u_00100,64,400,north,medium,none,0
u_00101,70,174,east,low,none,0
u_00102,41,917,west,high,none,0
u_00103,43,646,east,low,none,0
u_00104,42,363,west,low,none,0
u_00105,62,282,central,medium,none,0
u_00106,58,1144,central,medium,none,0
u_00107,46,251,west,high,none,0
u_00108,32,337,north,low,none,0
u_00109,62,940,north,medium,none,0
u_00110,18,460,central,medium,ring_01,1
u_00111,42,99,east,low,none,0
u_00112,24,472,central,medium,none,0
u_00113,26,260,central,medium,none,0
u_00114,41,122,west,medium,none,0
u_00115,18,269,north,high,none,0
u_00116,61,171,west,medium,none,0
u_00117,25,216,central,medium,none,0
u_00118,41,456,south,medium,none,0
u_00119,28,134,east,medium,none,0
u_00120,68,689,central,high,none,0
u_00121,34,316,west,low,none,0
u_00122,25,229,south,medium,none,0
u_00123,52,314,south,medium,none,0
u_00124,52,172,central,medium,none,0
u_00125,50,172,north,medium,none,0
u_00126,22,297,south,high,none,0
u_00127,59,472,east,high,none,0
u_00128,56,534,west,medium,none,0
u_00129,58,279,west,medium,none,0
u_00130,45,339,west,medium,none,0
u_00131,24,452,central,low,none,0
u_00132,26,972,west,low,none,0
u_00133,25,409,west,medium,none,0
u_00134,29,244,east,medium,none,0
u_00135,51,199,north,low,none,0
u_00136,50,694,central,medium,none,0
u_00137,65,48,central,low,none,0
u_00138,72,270,west,low,none,0
u_00139,40,198,east,low,none,0
u_00140,41,640,south,low,none,0
u_00141,54,847,west,low,none,0
u_00142,52,335,west,medium,none,0
u_00143,61,225,central,low,none,0
u_00144,57,356,central,high,none,0
u_00145,39,510,west,medium,none,0
u_00146,44,558,central,low,none,0
u_00147,52,356,east,low,none,0
u_00148,18,853,south,medium,none,0
u_00149,52,259,south,low,none,0
u_00150,54,298,south,high,none,0
u_00151,64,309,west,medium,none,0
u_00152,31,469,west,medium,none,0
u_00153,20,666,west,high,none,0
u_00154,18,144,east,medium,none,0
u_00155,22,164,south,high,none,0
u_00156,43,475,central,high,none,0
u_00157,72,168,central,high,none,0
u_00158,31,321,north,medium,none,0
u_00159,56,308,north,low,none,0
u_00160,44,796,central,low,none,0
u_00161,26,1023,south,medium,none,0
u_00162,32,275,west,high,none,0
u_00163,32,550,central,medium,none,0
u_00164,43,310,central,low,none,0
u_00165,59,644,north,medium,none,0
u_00166,30,164,south,medium,none,0
u_00167,68,780,central,medium,none,0
u_00168,49,251,west,high,none,0
u_00169,56,127,west,medium,none,0
u_00170,66,265,east,medium,none,0
u_00171,69,325,west,medium,none,0
u_00172,49,171,central,medium,none,0
u_00173,21,379,central,low,none,0
u_00174,47,594,west,medium,none,0
u_00175,54,213,north,low,none,0
u_00176,40,960,south,medium,none,0
u_00177,56,1444,central,medium,none,0
u_00178,62,329,west,low,none,0
u_00179,32,571,west,medium,none,0
u_00180,60,500,central,medium,none,0
u_00181,46,356,east,low,none,0
u_00182,53,330,south,low,none,0
u_00183,30,94,central,medium,none,0
u_00184,49,354,west,medium,none,0
u_00185,24,638,east,medium,none,0
u_00186,68,257,central,medium,none,0
u_00187,39,945,south,medium,none,0
u_00188,45,506,east,high,none,0
u_00189,19,782,west,low,none,0
u_00190,59,335,north,high,none,0
u_00191,62,434,south,medium,none,0
u_00192,74,562,east,medium,none,0
u_00193,70,309,central,medium,none,0
u_00194,23,758,central,low,none,0
u_00195,45,261,east,medium,none,0
u_00196,45,1163,central,low,none,0
u_00197,61,160,east,medium,none,0
u_00198,61,535,south,medium,none,0
u_00199,37,242,central,medium,none,0
u_00200,47,192,south,low,none,0
u_00201,28,200,west,high,none,0
u_00202,72,28,west,high,none,0
u_00203,45,179,west,medium,none,0
u_00204,42,661,west,medium,none,0
u_00205,56,626,central,high,none,0
u_00206,50,153,east,medium,none,0
u_00207,18,530,central,high,none,0
u_00208,74,229,central,medium,none,0
u_00209,44,76,south,medium,none,0
u_00210,74,667,east,low,none,0
u_00211,69,723,north,medium,none,0
u_00212,30,262,north,medium,none,0
u_00213,58,788,east,medium,none,0
u_00214,20,368,north,medium,none,0
u_00215,56,417,east,high,none,0
u_00216,23,354,south,high,none,0
u_00217,25,150,south,low,none,0
u_00218,44,328,central,medium,none,0
u_00219,26,156,north,low,none,0
u_00220,54,545,east,medium,none,0
u_00221,50,582,south,low,none,0
u_00222,68,75,central,low,none,0
u_00223,59,568,north,low,none,0
u_00224,61,369,north,medium,none,0
